Date,IVV US Equity  (L2),IEUR US Equity  (L1),MCHI US Equity  (R2),NAFTRAC MM Equity  (R1)
8/27/2018,291.81,48.76,62.44,50.43
8/24/2018,289.52,48.22,61.21,49.64
8/23/2018,287.73,47.82,60.3,49.75
8/22/2018,288.22,48.1,61.43,49.87
8/21/2018,288.23,47.98,61.08,49.34
8/20/2018,287.74,47.43,60.11,48.74
8/17/2018,287.04,47.11,59.59,48.26
8/16/2018,286.1,46.84,58.79,47.99
8/15/2018,283.65,46.51,58.18,48.48
8/14/2018,285.93,47.33,60.4,49.01
8/13/2018,284.11,47.41,61.25,48.69
8/10/2018,285.07,47.53,62.16,48.3
8/9/2018,287.11,48.53,62.68,49.19
8/8/2018,287.37,48.71,62.05,49.83
8/7/2018,287.47,48.77,62.29,49.86
8/6/2018,286.65,48.42,61.22,49.22
8/3/2018,285.55,48.64,61.73,49.24
8/2/2018,284.23,48.5,61.86,48.98
8/1/2018,282.88,48.96,62.68,49.34
7/31/2018,283.28,49.23,63.82,49.6
7/30/2018,281.77,49.1,63.62,49.64
7/27/2018,283.36,48.99,64.27,49.61
7/26/2018,285.19,48.88,64.73,49.46
7/25/2018,286.18,49.24,65.94,49.61
7/24/2018,283.55,48.76,64.62,49.52
7/23/2018,282.14,48.52,63.35,48.89
7/20/2018,281.62,48.58,63.66,48.94
7/19/2018,281.92,48.31,62.85,48.76
7/18/2018,283.09,48.53,64.08,49.02
7/17/2018,282.47,48.44,64.23,48.77
7/16/2018,281.33,48.48,64.15,48.48
7/13/2018,281.43,48.46,64.6,48.47
7/12/2018,281.14,48.4,64.7,48.77
7/11/2018,278.74,47.97,63.44,49.01
7/10/2018,280.83,48.78,64.71,48.97
7/9/2018,279.81,48.67,65.4,49.21
7/6/2018,277.21,48.35,64.04,48.97
7/5/2018,275.07,48.06,63.07,48.54
7/4/2018,,,,47.33
7/3/2018,272.73,47.5,63.54,47.05
7/2/2018,273.82,47.29,63.68,46.65
6/29/2018,273.05,47.58,64.6,47.64
6/28/2018,272.82,47.09,63.65,47.02
6/27/2018,271.12,47.04,63.04,46.85
6/26/2018,273.47,47.49,65.09,47.1
6/25/2018,274.1,47.52,65.29,46.96
6/22/2018,277.89,48.17,67.07,46.94
6/21/2018,277.32,47.53,66.54,46.68
6/20/2018,279.25,47.92,67.85,46.97
6/19/2018,278.67,47.98,67.88,46.7
6/18/2018,279.7,49.58,69.47,46.87
6/15/2018,280.31,50.02,70.16,47.1
6/14/2018,280.71,50.4,70.46,47.37
6/13/2018,279.92,50.44,70.48,46.92
6/12/2018,280.89,50.34,71.43,46.84
6/11/2018,280.51,50.59,71.12,46.48
6/8/2018,280.04,50.12,71.09,46.11
6/7/2018,279.26,50.1,71.31,45.66
6/6/2018,279.44,50.48,72.14,45.2
6/5/2018,277.06,49.99,71.24,45.15
6/4/2018,276.81,50.06,71.06,45.27
6/1/2018,275.53,49.93,69.87,45.05
5/31/2018,272.73,49.52,68.83,44.74
5/30/2018,274.55,49.7,68.27,44.77
5/29/2018,270.93,48.84,67.97,44.68
5/28/2018,,,,45.01
5/25/2018,273.98,50.22,69.18,45.24
5/24/2018,274.75,50.67,69.015,45.56
5/23/2018,275.25,50.79,69.3,45.89
5/22/2018,274.47,51.47,69.36,45.72
5/21/2018,275.21,51.41,69.69,45.39
5/18/2018,273.21,51.12,69.16,45.75
5/17/2018,273.88,51.26,69.49,45.87
5/16/2018,274.1,51.1,70.5,46.48
5/15/2018,272.81,51.15,69.04,46.32
5/14/2018,274.82,51.43,70.34,46.58
5/11/2018,274.47,51.44,69.74,46.8
5/10/2018,273.9,51.38,69.81,46.61
5/9/2018,271.44,51.12,68.61,46.37
5/8/2018,268.68,50.8,68.27,46.75
5/7/2018,268.79,50.83,67.35,46.53
5/4/2018,267.82,50.75,67.2,47.03
5/3/2018,264.4,50.65,66.5,47.13
5/2/2018,264.97,50.49,66.82,47.81
5/1/2018,266.83,50.46,66.99,
4/30/2018,266.31,50.7,66.85,48.3
4/27/2018,268.39,50.87,66.96,48.24
4/26/2018,268.15,50.83,66.64,48.24
4/25/2018,265.42,50.61,66.03,48.01
4/24/2018,264.89,50.79,66.47,48.01
4/23/2018,268.44,51.06,66.45,48.41
4/20/2018,268.44,51.12,66.85,48.37
4/19/2018,270.72,51.33,67.75,48.67
4/18/2018,272.19,51.5,67.76,49.05
4/17/2018,272.07,51.3,67.77,48.84
4/16/2018,269.19,50.97,67.48,48.37
4/13/2018,266.97,50.87,67.83,48.72
4/12/2018,267.79,50.78,69.1,48.73
4/11/2018,265.52,50.49,69.01,48.48
4/10/2018,266.97,50.74,69.08,48.28
4/9/2018,262.7,50.12,67.07,47.99
4/6/2018,261.57,49.7,66.2,47.85
4/5/2018,267.48,49.9,67.83,47.88
4/4/2018,265.63,49.47,67.65,47.42
4/3/2018,262.58,49.3,67.54,46.62
4/2/2018,259.21,49.02,66.91,45.75
3/29/2018,265.37,49.68,68.57,
3/28/2018,261.62,49.31,67.36,46.05
3/27/2018,262.32,49.04,68.32,46.71
3/26/2018,267,49.57,69.79,46.82
3/23/2018,259.83,48.65,67.09,46.53
3/22/2018,265.47,48.97,68.53,47.34
3/21/2018,273.56,49.98,72.18,47.54
3/20/2018,274.06,49.95,72.86,47.09
3/19/2018,273.58,50.04,71.57,
3/16/2018,277.3,50.25,72.64,47.49
3/15/2018,277.05,50.27,72.54,47.84
3/14/2018,277.34,50.3,71.73,48.18
3/13/2018,278.77,50.17,71.18,48.56
3/12/2018,280.59,50.54,72.39,48.67
3/9/2018,280.82,50.45,72.1,48.54
3/8/2018,276.13,50.2,70.26,48.24
3/7/2018,274.85,50.12,69.98,47.68
3/6/2018,274.95,50.02,69.77,47.86
3/5/2018,274.2,49.66,69.07,47.71
3/2/2018,271.2,49.34,68.98,47.53
3/1/2018,269.7,49.26,68.98,47.58
2/28/2018,273.34,49.85,69.2,47.41
2/27/2018,276.48,50.44,70.21,47.92
2/26/2018,279.96,51.28,73,48.43
2/23/2018,276.72,50.95,72.34,48.58
2/22/2018,272.37,50.59,71.16,48.88
2/21/2018,272,50.38,71.28,48.47
2/20/2018,273.41,50.59,70.63,48.62
2/19/2018,,,,48.89
2/16/2018,275.09,51.07,71.24,48.82
2/15/2018,275.02,51.04,71.57,48.73
2/14/2018,271.65,50.65,69.82,48.31
2/13/2018,267.96,49.65,67.69,47.84
2/12/2018,267.18,49.73,66.99,47.75
2/9/2018,263.67,49.12,65.83,47.76
2/8/2018,259.62,48.9,65.39,47.8
2/7/2018,269.59,50.1,68.29,48.9
2/6/2018,271.26,50.73,71.02,49.26
2/5/2018,266.05,49.73,69.58,
2/2/2018,277.53,51.81,71.71,50.33
2/1/2018,283.79,53.13,73.11,50.49
1/31/2018,284.15,53.01,74.81,50.39
1/30/2018,283.65,53.02,73.84,50.31
1/29/2018,286.75,53.38,75.24,50.56
1/26/2018,288.66,53.89,76.72,50.99
1/25/2018,285.35,53.43,74.69,50.68
1/24/2018,285.24,53.58,75.2,50.69
1/23/2018,285.39,53.43,75,50.21
1/22/2018,284.73,53.31,73.91,49.9
1/19/2018,282.49,53.01,73.4,49.65
1/18/2018,281.26,52.74,72.55,49.86
1/17/2018,281.68,52.66,72.42,49.66
1/16/2018,278.9,52.44,71.35,49.42
1/15/2018,,,,49.31
1/12/2018,279.91,52.43,71.99,49.06
1/11/2018,278.09,51.75,70.9,48.76
1/10/2018,276.13,51.43,70.72,48.7
1/9/2018,276.57,51.6,71,49.65
1/8/2018,275.94,51.49,70.96,49.95
1/5/2018,275.33,51.66,70.61,49.82
